,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
4612,Murshidabad,9,GEN,West Bengal,Masudal Hossain Syed,Communist Party Of India (MARXIST),1137493,996549,87.6,37185,3.7,1996
4613,Muvattupuzha,12,GEN,Kerala,P C Thomas,Kerala Congress(M),975024,719419,73.8,121896,16.9,1996
4614,Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Sohan Veer,Bharatiya Janta Party,1193451,578981,48.5,34652,6.0,1996
4615,Muzaffarpur,10,GEN,Bihar [1947 - 1999],Jai Narain Pd. Nishad,Janata Dal,1056122,645837,61.2,80074,12.4,1996
4616,Mysore,16,GEN,Karnataka,Srikantadatta Narasimharaja Wadeyay,Indian National Congress,1210602,757105,62.5,11676,1.5,1996
4617,Nabadwip,12,GEN,West Bengal,Asim Bala,Communist Party Of India (MARXIST),1306288,1135004,86.9,39068,3.4,1996
4618,Nagaland,1,ST,Nagaland,Imchalemba,Indian National Congress,874518,772402,88.3,197403,25.6,1996
4619,Nagapattinam,30,GEN,Tamil Nadu,Selvarasu M,Communist Party Of India,982040,727883,74.1,221346,30.4,1996
4620,Nagarkurnool,28,SC,Andhra Pradesh,M. Jagannath,Telugu Desam,1196561,782603,65.4,76375,9.8,1996
4621,Nagaur,25,GEN,Rajasthan,Nathuram Mirdha,Indian National Congress,1169910,568281,48.6,159034,28.0,1996
4622,Nagercoil,39,GEN,Tamil Nadu,Dennis N.,Tamil Maanila Congress (MOOPANAR),974018,583299,59.9,27697,4.7,1996
4623,Nagpur,23,GEN,Maharashtra,Banwarilal Purohit,Bharatiya Janta Party,1514336,784944,51.8,121502,15.5,1996
4624,Nainital,4,GEN,Uttar Pradesh [1947 - 1999],Narayan Dutt Tiwari,All India Indira Congress (TIWARI),1337954,791948,59.2,155845,19.7,1996
4625,Nalanda,34,GEN,Bihar [1947 - 1999],George Ferandes,Samata Party,1173101,890894,75.9,167864,18.8,1996
4626,Nalgonda,41,GEN,Andhra Pradesh,Bommagani Dharma Bixam,Communist Party Of India,1427026,851118,59.6,71757,8.4,1996
4627,Nanded,30,GEN,Maharashtra,Kunturkar Gangadharrao Mohanrao Deshmukh,Indian National Congress,1154935,642602,55.6,11936,1.9,1996
4628,Nandurbar,15,GEN,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,1041333,523303,50.3,33309,6.4,1996
4629,Nandyal,27,GEN,Andhra Pradesh,P.V.Narasimha Rao,Indian National Congress,1123150,740886,66.0,98530,13.3,1996
4630,Narasapur,10,GEN,Andhra Pradesh,Kothapalli Subbarayudu (PEDABABU),Telugu Desam,1020648,723415,70.9,17626,2.4,1996
4631,Narasaraopet,17,GEN,Andhra Pradesh,Saidaiah Kota,Telugu Desam,1274459,728500,57.2,18958,2.6,1996
4632,Nashik,12,ST,Maharashtra,Godase Rajaram Parashram,Shiv Sena,1305210,634101,48.6,73539,11.6,1996
4633,Nawada,42,SC,Bihar [1947 - 1999],Kameshwar Paswan,Bharatiya Janta Party,1177385,751302,63.8,96914,12.9,1996
4634,Nellore,19,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1182875,700857,59.3,68185,9.7,1996
4635,New Delhi,1,GEN,Delhi [1977 Onwards],Jagmohan,Bharatiya Janta Party,505445,261159,51.7,58315,22.3,1996
4636,Nilgiris,18,GEN,Tamil Nadu,Balasubramaniyan S.R.,Tamil Maanila Congress (MOOPANAR),1199070,796437,66.4,281376,35.3,1996
4637,Nizamabad,34,GEN,Andhra Pradesh,Atmacharan Reddy,Indian National Congress,1134641,698512,61.6,43599,6.2,1996
4638,Nowgong,10,GEN,Assam,Muhi Ram Saikia,Asom Gana Parisad,973312,765111,78.6,54128,7.1,1996
4639,Nowrangpur,13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,991756,575215,58.0,203804,35.4,1996
4640,Ongole,18,GEN,Andhra Pradesh,Parvathamma Magunta,Indian National Congress,1184978,765305,64.6,50060,6.5,1996
4641,Osmanabad,36,GEN,Maharashtra,Kamble Shivaji Vithalrao,Shiv Sena,915924,487084,53.2,15919,3.3,1996
4642,Ottapalam,8,GEN,Kerala,S. Ajayakumar,Communist Party Of India (MARXIST),1035900,695723,67.2,23064,3.3,1996
4643,Outer Delhi,3,GEN,Delhi [1977 Onwards],Krishan Lal Sharma,Bharatiya Janta Party,2821566,1357799,48.1,233133,17.2,1996
4644,Outer Manipur,2,ST,Manipur,Meijinlung Kamson,Indian National Congress,664337,554047,83.4,68108,12.3,1996
4645,Padrauna,40,GEN,Uttar Pradesh [1947 - 1999],Ram Nagina Misra,Bharatiya Janta Party,1181908,608252,51.5,46520,7.6,1996
4646,Palamau,54,SC,Bihar [1947 - 1999],Braj Mohan Ram,Bharatiya Janta Party,1064450,486776,45.7,54415,11.2,1996
4647,Palani,22,GEN,Tamil Nadu,Kaarvendhan .S.K,Tamil Maanila Congress (MOOPANAR),1067963,735759,68.9,192633,26.2,1996
4648,Palghat,7,GEN,Kerala,N N Krishnadas,Communist Party Of India (MARXIST),1062083,737849,69.5,23423,3.2,1996
4649,Pali,21,GEN,Rajasthan,Gumanmal Lodha,Bharatiya Janta Party,1070655,373853,34.9,14471,3.9,1996
4650,Panaji,1,GEN,Goa,Khalap Ramakant D,Maharashtrawadi Gomantak,387459,216081,55.8,10545,4.9,1996
4651,Pandharpur,38,SC,Maharashtra,Thorat Sandipan Bhagwan,Indian National Congress,1058285,520828,49.2,75088,14.4,1996
4652,Panskura,29,SC,West Bengal,Geeta Mukherjee,Communist Party Of India,940752,845529,89.9,111388,13.2,1996
4653,Parbhani,31,GEN,Maharashtra,Jadhav Suresh Ramrao,Shiv Sena,1017568,494696,48.6,114875,23.2,1996
4654,Parvathipuram,2,ST,Andhra Pradesh,Pradeep Kumar Dev Vyricherla,Indian National Congress,914919,593995,64.9,8288,1.4,1996
4655,Patan,13,GEN,Gujarat,Maheshkumar Mithabhai Kanodia,Bharatiya Janta Party,971332,313364,32.3,88823,28.3,1996
4656,Patiala,8,SC,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,1183865,697006,58.9,49066,7.0,1996
4657,Patna,35,GEN,Bihar [1947 - 1999],Ramkripal Yadav,Janata Dal,1452297,781874,53.8,39467,5.0,1996
4658,Peddapalli,36,SC,Andhra Pradesh,G. Venkat Swamy,Indian National Congress,1308342,721246,55.1,65465,9.1,1996
4659,Perambalur,28,GEN,Tamil Nadu,Raja A,Dravida Munetra Kazhagam,981968,721728,73.5,214247,29.7,1996
4660,Periyakulam,25,GEN,Tamil Nadu,Gnanagurusamy R,Dravida Munetra Kazhagam,1022160,686544,67.2,131337,19.1,1996
4661,Phillaur,5,SC,Punjab,Harbhajan Lakha,Bahujan Samaj Party,1054420,628548,59.6,49867,7.9,1996
4662,Phulbani,15,GEN,Orissa,Mrutyunjya Nayak,Indian National Congress,1048821,592938,56.5,33658,5.7,1996
4663,Phulpur,55,GEN,Uttar Pradesh [1947 - 1999],Jang Bahadur Singh Patel,Samajwadi Party,1177561,564050,47.9,16021,2.8,1996
4664,Pilibhit,13,GEN,Uttar Pradesh [1947 - 1999],Maneka Gandhi,Janata Dal,1106846,673796,60.9,283310,42.0,1996
4665,Pollachi,21,GEN,Tamil Nadu,Kandasamy .V,Tamil Maanila Congress (MOOPANAR),968739,696457,71.9,138891,19.9,1996
4666,Pondicherry,1,GEN,Pondicherry,M.O.H. Farook,Indian National Congress,633635,477437,75.4,284,0.1,1996
4667,Ponnani,6,GEN,Kerala,G.M.Banatwalla,Muslim Leage,1091180,733423,67.2,79295,10.8,1996
4668,Porbandar,5,GEN,Gujarat,Javiya Gordhanbhai Jadavbhai,Bharatiya Janta Party,881758,304353,34.5,75000,24.6,1996
4669,Pratapgarh,24,GEN,Uttar Pradesh [1947 - 1999],Rajkumari Ratna Singh,Indian National Congress,1167505,475751,40.8,21637,4.5,1996
4670,Pudukkottai,32,GEN,Tamil Nadu,"Siva,n.",Dravida Munetra Kazhagam,1124547,828411,73.7,177873,21.5,1996
4671,Pune,42,SC,Maharashtra,Suresh Kalmadi,Indian National Congress,1364999,778102,57.0,86995,11.2,1996
4672,Puri,8,SC,Orissa,Pinaki Mishra,Indian National Congress,1101266,689395,62.6,112308,16.3,1996
4673,Purnea,24,GEN,Bihar [1947 - 1999],Rajesh Ranjan,Samajwadi Party,1074893,679646,63.2,316155,46.5,1996
4674,Purulia,34,GEN,West Bengal,Bir Sing Mahato,All India Forward Bloc,967200,765833,79.2,109870,14.3,1996
4675,Quilon,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1022175,738078,72.2,78370,10.6,1996
4676,Rae Bareli,23,GEN,Uttar Pradesh [1947 - 1999],Ashok Singh S/o Devenra Nath Singh,Bharatiya Janta Party,1163423,499838,43.0,33887,6.8,1996
4677,Raichur,3,GEN,Karnataka,Raja Rangappa Naik,Janata Dal,1131242,497160,44.0,36405,7.3,1996
4678,Raiganj,5,GEN,West Bengal,Subrata Mukherjee,Communist Party Of India (MARXIST),1111134,901716,81.2,10956,1.2,1996
4679,Raigarh,13,ST,Madhya Pradesh [1947 - 1999],Nand Kumar Sai,Bharatiya Janta Party,923706,646380,70.0,9198,1.4,1996
4680,Raipur,17,GEN,Madhya Pradesh [1947 - 1999],Ramesh Vaish,Bharatiya Janta Party,1104342,570727,51.7,50739,8.9,1996
4681,Rajahmundry,8,GEN,Andhra Pradesh,Chitturi Ravindra,Indian National Congress,1120483,769949,68.7,95166,12.4,1996
4682,Rajampet,22,GEN,Andhra Pradesh,Annaiahgari Sai Prathap,Indian National Congress,984399,590161,60.0,50392,8.5,1996
4683,Rajapur,1,ST,Maharashtra,Suresh Prabhu,Shiv Sena,796189,440744,55.4,66136,15.0,1996
4684,Rajgarh,32,GEN,Madhya Pradesh [1947 - 1999],Laxman Singh,Indian National Congress,1040216,602394,57.9,25201,4.2,1996
4685,Rajkot,4,GEN,Gujarat,Dr. Kathiriya Vallabhbhai Ramjibhai,Bharatiya Janta Party,1349629,416933,30.9,40820,9.8,1996
4686,Rajmahal,26,ST,Bihar [1947 - 1999],Thomas Hansda,Indian National Congress,948273,569597,60.1,143162,25.1,1996
4687,Rajnandgaon,22,GEN,Madhya Pradesh [1947 - 1999],Ashok Sharma,Bharatiya Janta Party,968069,522111,53.9,59276,11.4,1996
4688,Ramanathapuram,34,GEN,Tamil Nadu,"Udayappan, S.P.",Tamil Maanila Congress (MOOPANAR),1044597,664914,63.7,195304,29.4,1996
4689,Rampur,8,GEN,Uttar Pradesh [1947 - 1999],Begam Nurbano Alias Mehtab Zamani Begum,Indian National Congress,1286323,746812,58.1,74747,10.0,1996
4690,Ramtek,22,ST,Maharashtra,Meghe Dattatray Raghobaji,Indian National Congress,1032993,559065,54.1,25722,4.6,1996
4691,Ranchi,49,GEN,Bihar [1947 - 1999],Ram Tahal Choudhary,Bharatiya Janta Party,1126150,611980,54.3,39292,6.4,1996
4692,Rasipuram,15,GEN,Tamil Nadu,Kandasamy K,Tamil Maanila Congress (MOOPANAR),1047694,694523,66.3,193178,27.8,1996
4693,Ratnagiri,2,GEN,Maharashtra,Anant Gangaram Geete,Shiv Sena,836562,482511,57.7,131784,27.3,1996
4694,Rewa,9,GEN,Madhya Pradesh [1947 - 1999],Buddha Hasen Patel,Bahujan Samaj Party,1281030,600062,46.8,12382,2.1,1996
4695,Robertsganj,53,SC,Uttar Pradesh [1947 - 1999],Ramshakal,Bharatiya Janta Party,1399438,637343,45.5,71841,11.3,1996
4696,Rohtak,5,GEN,Haryana,Bhupender,Indian National Congress,949760,644480,67.9,2664,0.4,1996
4697,Ropar,7,GEN,Punjab,Basant Singh,Shiromani Akali Dal,1172773,689353,58.8,71091,10.3,1996
4698,Rosera,16,SC,Bihar [1947 - 1999],Pitambar Paswan,Janata Dal,1059508,606085,57.2,122931,20.3,1996
4699,Sabarkantha,15,GEN,Gujarat,Nisha Amarsinh Chaudhary,Indian National Congress,1095704,437460,39.9,40611,9.3,1996
4700,Sagar,5,SC,Madhya Pradesh [1947 - 1999],Virendra Kumar,Bharatiya Janta Party,1044260,481182,46.1,148317,30.8,1996
4701,Saharanpur,84,GEN,Uttar Pradesh [1947 - 1999],Nakli Singh,Bharatiya Janta Party,1217126,720217,59.2,2499,0.3,1996
4702,Saharsa,20,GEN,Bihar [1947 - 1999],Dinesh Chandera Yadav,Janata Dal,1131004,709379,62.7,152445,21.5,1996
4703,Saidpur,49,SC,Uttar Pradesh [1947 - 1999],Vidhyasagar,Bharatiya Janta Party,1277666,601061,47.0,24369,4.1,1996
4704,Salem,16,GEN,Tamil Nadu,Devadass.R,Tamil Maanila Congress (MOOPANAR),1080762,706406,65.4,120885,17.1,1996
4705,Salempur,42,GEN,Uttar Pradesh [1947 - 1999],Harivansh Sahay,Samajwadi Party,1252901,517179,41.3,35696,6.9,1996
4706,Salumber,17,GEN,Rajasthan,Bheru Lal Meena,Indian National Congress,1086277,447955,41.2,34767,7.8,1996
4707,Samastipur,17,GEN,Bihar [1947 - 1999],Ajit Kumar Mehta,Janata Dal,1217114,735266,60.4,141934,19.3,1996
4708,Sambalpur,17,GEN,Orissa,Krupasindhu Bhoi,Indian National Congress,1109875,661476,59.6,84507,12.8,1996
4709,Sambhal,9,GEN,Uttar Pradesh [1947 - 1999],Dharmpal Yadav Alias D.P.Yadav,Bahujan Samaj Party,1065746,535704,50.3,4894,0.9,1996
4710,Sangli,46,GEN,Maharashtra,Patil Madan Vishwanath,Indian National Congress,1004670,596653,59.4,174713,29.3,1996
4711,Sangrur,10,GEN,Punjab,Surjeet Singh Barnala,Shiromani Akali Dal,1058782,757827,71.6,75652,10.0,1996
4712,Sarangarh,16,SC,Madhya Pradesh [1947 - 1999],Paras Ram Bhardwaj,Indian National Congress,1021363,561458,55.0,33277,5.9,1996
4713,Sasaram,38,SC,Bihar [1947 - 1999],Muni Lal,Bharatiya Janta Party,1138941,597226,52.4,53633,9.0,1996
4714,Satara,44,GEN,Maharashtra,Naik Nimbalkar Hindurao Nilkanthrao,Shiv Sena,949934,548775,57.8,11809,2.2,1996
4715,Satna,8,GEN,Madhya Pradesh [1947 - 1999],Sukhlal Kushwaha,Bahujan Samaj Party,1114739,665181,59.7,22238,3.3,1996
4716,Sawai Madhopur,11,ST,Rajasthan,Usha Devi,Indian National Congress,1207736,398894,33.0,22250,5.6,1996
4717,Secunderabad,31,GEN,Andhra Pradesh,Rajeshwar Rao P.V.,Indian National Congress,1691418,877169,51.9,214358,24.4,1996
4718,Seoni,26,GEN,Madhya Pradesh [1947 - 1999],Prahlad Singh Patel,Bharatiya Janta Party,1047662,624999,59.7,64847,10.4,1996
4719,Serampore,26,GEN,West Bengal,Pradip Bhattacharya,Indian National Congress,1249680,990773,79.3,5463,0.6,1996
4720,Shahabad,16,GEN,Uttar Pradesh [1947 - 1999],Aliyas Azmi,Bahujan Samaj Party,1115234,501919,45.0,57102,11.4,1996
4721,Shahdol,11,ST,Madhya Pradesh [1947 - 1999],Gyan Singh,Bharatiya Janta Party,1143068,657156,57.5,53395,8.1,1996
4722,Shahjahanpur,14,GEN,Uttar Pradesh [1947 - 1999],Ram Murthi Singh,Indian National Congress,1105615,571498,51.7,6903,1.2,1996
4723,Shajapur,33,SC,Madhya Pradesh [1947 - 1999],Thawarchand Gehlot,Bharatiya Janta Party,1113464,627127,56.3,129639,20.7,1996
4724,Sheohar,12,GEN,Bihar [1947 - 1999],Anand Mohan,Samata Party,1084065,692749,63.9,40637,5.9,1996
4725,Shillong,1,ST,Meghalaya,G.Gilbert Swell,Independent,682709,385600,56.5,79302,20.6,1996
4726,Shimoga,21,GEN,Karnataka,S Bangarappa,Karnataka Congress Party,1078500,735610,68.2,72236,9.8,1996
4727,Sholapur,37,GEN,Maharashtra,Valyal Lingraj Balairayya,Bharatiya Janta Party,986021,553400,56.1,17087,3.1,1996
4728,Siddipet,32,SC,Andhra Pradesh,Yellaiah Nandi,Indian National Congress,1576387,930352,59.0,87967,9.5,1996
4729,Sidhi,10,ST,Madhya Pradesh [1947 - 1999],Tilak Raj Singh,All India Indira Congress (TIWARI),1197222,665407,55.6,8204,1.2,1996
4730,Sikar,5,GEN,Rajasthan,Hari Singh,Indian National Congress,1303706,612864,47.0,38009,6.2,1996
4731,Sikkim,1,GEN,Sikkim,Bhim Prasad Dahal,Sikkim Democratic Front,229160,177440,77.4,82043,46.2,1996
4732,Silchar,2,GEN,Assam,Sontosh Mohan Deb,Indian National Congress,753298,592252,78.6,68141,11.5,1996
4733,Simla,1,GEN,Himachal Pradesh,K D Sultanpuri,Indian National Congress,883691,470278,53.2,91133,19.4,1996
4734,Singhbhum,51,ST,Bihar [1947 - 1999],Chitrasen Sinku,Bharatiya Janta Party,838226,479210,57.2,11947,2.5,1996
4735,Sirsa,10,GEN,Haryana,Selja,Indian National Congress,1072284,847173,79.0,15147,1.8,1996
4736,Sitamarhi,11,GEN,Bihar [1947 - 1999],Nawal Kishore Rai,Janata Dal,1115473,746914,67.0,82257,11.0,1996
4737,Sitapur,17,GEN,Uttar Pradesh [1947 - 1999],Mukhtar Anis,Samajwadi Party,1094628,495954,45.3,10046,2.0,1996
4738,Sivaganga,33,GEN,Tamil Nadu,Chidambaram P.,Tamil Maanila Congress (MOOPANAR),1057381,674687,63.8,247302,36.7,1996
4739,Sivakasi,35,GEN,Tamil Nadu,"Alagirisamy, V.",Communist Party Of India,1167499,808460,69.3,23622,2.9,1996
4740,Siwan,5,GEN,Bihar [1947 - 1999],M. Sahabuddin,Janata Dal,992425,630460,63.5,165243,26.2,1996
4741,Sonepat,4,GEN,Haryana,Arvind Kumar,Independent,1058964,725975,68.6,49540,6.8,1996
4742,South Delhi,2,GEN,Delhi [1977 Onwards],Sushma Swaraj,Bharatiya Janta Party,1103959,535551,48.5,114006,21.3,1996
4743,Srikakulam,1,GEN,Andhra Pradesh,Kinjarapu Yerrannaidu,Telugu Desam,983329,647219,65.8,34578,5.3,1996
4744,Srinagar,2,GEN,Jammu & Kashmir,Ghulam Mohammad Mir,Indian National Congress,786301,321928,40.9,1599,0.5,1996
4745,Sriperumbudur,4,GEN,Tamil Nadu,Nagaratnam.T,Dravida Munetra Kazhagam,1156491,779085,67.4,245711,31.5,1996
4746,Sultanpur,26,GEN,Uttar Pradesh [1947 - 1999],Devendra Bahadur Rai,Bharatiya Janta Party,1219241,574530,47.1,118284,20.6,1996
4747,Sundargarh,20,GEN,Orissa,Frida Topno,Indian National Congress,1099071,619621,56.4,13073,2.1,1996
4748,Surat,24,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,1890626,633385,33.5,175261,27.7,1996
4749,Surendranagar,2,GEN,Gujarat,Sanat Mehta,Indian National Congress,935438,363520,38.9,64852,17.8,1996
4750,Surguja,12,ST,Madhya Pradesh [1947 - 1999],Khelsai Singh,Indian National Congress,1046615,675224,64.5,8771,1.3,1996
4751,Tamluk,30,GEN,West Bengal,Jayanta Bhattacharya,Indian National Congress,1045585,938889,89.8,7910,0.8,1996
4752,Tarn Taran,3,GEN,Punjab,Major Singh Uboke,Shiromani Akali Dal,1001343,640771,64.0,33852,5.3,1996
4753,Tehri Garhwal,1,GEN,Uttar Pradesh [1947 - 1999],Manbender Shah,Bharatiya Janta Party,1130991,271592,24.0,34917,12.9,1996
4754,Tenali,14,GEN,Andhra Pradesh,Sarada Tadiparthi,Telugu Desam,961992,632237,65.7,36488,5.8,1996
4755,Tenkasi,37,SC,Tamil Nadu,"Arunachalam, M.",Tamil Maanila Congress (MOOPANAR),973084,680617,69.9,95926,14.1,1996
4756,Tezpur,9,GEN,Assam,Iswar Prasanna Hazarika,Indian National Congress,853710,677449,79.4,6719,1.0,1996
4757,Thane,10,GEN,Maharashtra,Paranjpe Prakash Vishwanath,Shiv Sena,2832514,913378,32.3,192637,21.1,1996
4758,Thanjavur,31,GEN,Tamil Nadu,Palanimanickam S.S,Dravida Munetra Kazhagam,968000,700830,72.4,200428,28.6,1996
4759,Tindivanam,10,GEN,Tamil Nadu,Venkatraman G,Dravida Munetra Kazhagam,1034126,724103,70.0,190276,26.3,1996
4760,Tiruchendur,38,GEN,Tamil Nadu,Dhanuskodi Athithan R.,Tamil Maanila Congress (MOOPANAR),979656,596500,60.9,203711,34.2,1996
4761,Tiruchengode,17,GEN,Tamil Nadu,K.P.Ramalingam,Dravida Munetra Kazhagam,1322216,857452,64.9,193188,22.5,1996
4762,Tiruchirappalli,27,SC,Tamil Nadu,Adaikkalraj.L,Tamil Maanila Congress (MOOPANAR),1070053,720232,67.3,264708,36.8,1996
4763,Tirunelveli,36,GEN,Tamil Nadu,Sivaprakasam D.S.A.,Dravida Munetra Kazhagam,1023826,669818,65.4,118280,17.7,1996
4764,Tirupathi,20,SC,Andhra Pradesh,Nelavala Subrahmanyam,Indian National Congress,1208638,758791,62.8,52332,6.9,1996
4765,Tiruppattur,8,GEN,Tamil Nadu,Venugopal.D,Dravida Munetra Kazhagam,1061817,732490,69.0,240264,32.8,1996
4766,Tonk,13,GEN,Rajasthan,Shyam Lal Banshiwal,Bharatiya Janta Party,1107980,435758,39.3,2726,0.6,1996
4767,Trichur,9,SC,Kerala,V.V.Raghavan,Communist Party Of India,995232,708216,71.2,1480,0.2,1996
4768,Tripura East,2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),788260,612132,77.7,154369,25.2,1996
4769,Tripura West,1,GEN,Tripura,Badal Choudhury,Communist Party Of India (MARXIST),859648,691216,80.4,80811,11.7,1996
4770,Trivandrum,20,GEN,Kerala,K.V.Surendranath,Communist Party Of India,1116833,721087,64.6,20802,2.9,1996
4771,Tumkur,8,GEN,Karnataka,C N Bhaskarappa,Janata Dal,1049708,684272,65.2,15712,2.3,1996
4772,Tura,2,ST,Meghalaya,Purno Agitok Sangma,Indian National Congress,410044,287772,70.2,184790,64.2,1996
4773,Udaipur,18,GEN,Rajasthan,Girija Vyas,Indian National Congress,1196874,499849,41.8,40465,8.1,1996
4774,Udhampur,5,GEN,Jammu & Kashmir,Chaman Lal Gupta,Bharatiya Janta Party,862236,459456,53.3,70055,15.2,1996
4775,Udupi,18,SC,Karnataka,Oscar Fernandes,Indian National Congress,993030,642416,64.7,2454,0.4,1996
4776,Ujjain,38,SC,Madhya Pradesh [1947 - 1999],Satyanarian Jatiya,Bharatiya Janta Party,1020916,596980,58.5,111257,18.6,1996
4777,Uluberia,25,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),1043340,863906,82.8,27842,3.2,1996
4778,Unnao,22,GEN,Uttar Pradesh [1947 - 1999],Devi Bux,Bharatiya Janta Party,1177719,489543,41.6,45656,9.3,1996
4779,Vaishali,9,GEN,Bihar [1947 - 1999],Raghybansh Prasad Singh,Janata Dal,1054819,711763,67.5,62683,8.8,1996
4780,Vandavasi,9,GEN,Tamil Nadu,Balaraman.L,Tamil Maanila Congress (MOOPANAR),1031471,717844,69.6,173304,24.1,1996
4781,Varanasi,52,GEN,Uttar Pradesh [1947 - 1999],Shankar Prasad Jaiswal,Bharatiya Janta Party,1420576,576473,40.6,100692,17.5,1996
4782,Vellore,7,GEN,Tamil Nadu,Shanmugam.P,Dravida Munetra Kazhagam,1050168,711693,67.8,211035,29.7,1996
4783,Vidisha,31,GEN,Madhya Pradesh [1947 - 1999],Shivraj Singh Chauhan,Bharatiya Janta Party,1082155,586652,54.2,175758,30.0,1996
4784,Vijayawada,13,GEN,Andhra Pradesh,Upendra Parvathaneni,Indian National Congress,1351063,893440,66.1,114274,12.8,1996
4785,Visakhapatnam,4,GEN,Andhra Pradesh,T. Subbarami Reddi,Indian National Congress,1394475,849194,60.9,7459,0.9,1996
4786,Vishnupur,36,GEN,West Bengal,Sandhya Bauri,Communist Party Of India (MARXIST),1011830,851257,84.1,265846,31.2,1996
4787,Warangal,39,GEN,Andhra Pradesh,Ajmeera Chandulal,Telugu Desam,1118768,756120,67.6,17440,2.3,1996
4788,Wardha,27,GEN,Maharashtra,Mude Vijay Annaji,Bharatiya Janta Party,1041353,554985,53.3,21975,4.0,1996
4789,Washim,20,ST,Maharashtra,Gawali Pundlikrao Ramji,Shiv Sena,970735,592491,61.0,16689,2.8,1996
4790,Yavatmal,28,GEN,Maharashtra,Rajabhau Ganeshrao Thakare,Bharatiya Janta Party,1005892,589243,58.6,38562,6.5,1996
4791,Adilabad,35,GEN,Andhra Pradesh,Dr.S.Venugopala Chary,Telugu Desam,1078788,752835,69.8,33534,4.5,1998
4792,Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,967961,691309,71.4,17005,2.5,1998
4793,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shankar Rawat,Bharatiya Janta Party,1224534,660263,53.9,48423,7.3,1998
4794,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1292500,652074,50.5,136813,21.0,1998
4795,Ahmednagar,39,GEN,Maharashtra,E.V. Alias Balasaheb Vikhe Patil,Shiv Sena,1125233,671532,59.7,14245,2.1,1998
4796,Ajmer,12,GEN,Rajasthan,Prabha Thakur,Indian National Congress,1044404,615621,58.9,5772,0.9,1998
4797,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,1225461,758980,61.9,25179,3.3,1998
4798,Akola,19,GEN,Maharashtra,Ambedkar Prakash Yashawant,Republican Party Of India,1120511,733223,65.4,32782,4.5,1998
4799,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,1242318,624474,50.3,131699,21.1,1998
4800,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1023567,827362,80.8,195599,23.6,1998
4801,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Dr. Murli Manohar Joshi,Bharatiya Janta Party,1409229,676551,48.0,43290,6.4,1998
4802,Alleppey,15,GEN,Kerala,V.M. Sudheeran,Indian National Congress,989265,764807,77.3,40637,5.3,1998
4803,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,955400,443737,46.5,81903,18.5,1998
4804,Alwar,8,GEN,Rajasthan,Ghasi Ram Yadav,Indian National Congress,1125267,658873,58.6,2561,0.4,1998
4805,Amalapuram,9,SC,Andhra Pradesh,Ganti Mohana Chandra Balayogi,Telugu Desam,897362,666177,74.2,90240,13.5,1998
4806,Ambala,1,SC,Haryana,Aman Kumar Nagra,Bahujan Samaj Party,1092422,748313,68.5,2864,0.4,1998
4807,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sanjay Singh,Bharatiya Janta Party,1112191,597556,53.7,23270,3.9,1998
4808,Amravati,21,GEN,Maharashtra,Ramkrushna Suryabhan Gawai,Republican Party Of India,1122524,621643,55.4,13859,2.2,1998
4809,Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,823988,515939,62.6,122173,23.7,1998
4810,Amritsar,2,GEN,Punjab,Daya Singh Sodhi,Bharatiya Janta Party,1198245,650837,54.3,91140,14.0,1998
